报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
预计流动负债(万元),--,--,--,--,--,--,--,0,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,0,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,0,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,0,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,0,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,0,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,0,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,0,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动负债(万元),34,32,30,30,31,31,33,34,--,0,2000,
其他流动负债(万元),844,1010,1053,2863,340,995,773,0,--,0,0,
流动负债合计(万元),617643,511930,556941,467989,388666,344148,237759,201888,141323,127633,110203,
长期借款(万元),583,576,573,601,17844,4869,1051,1108,1142,1200,1262,
应付债券(万元),--,--,--,--,--,--,--,0,--,0,0,
长期应付款(万元),--,--,--,--,--,--,--,0,--,0,0,
专项应付款(万元),--,--,--,--,--,--,--,0,--,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,0,--,0,0,
长期递延收益(万元),5199,5654,3316,--,--,--,--,0,--,--,--,
递延所得税负债(万元),4893,1630,1330,269,338,277,269,270,226,157,132,
其他非流动负债(万元),--,--,--,5418,7254,1072,933,354,182,0,0,
非流动负债合计(万元),10674,7860,5219,6288,25436,6218,2252,1731,1550,1357,1394,
负债合计(万元),628317,519790,562159,474277,414101,350366,240011,203619,142873,128989,111597,
实收资本(或股本)(万元),329956,330087,220058,220058,110029,60599,60599,60599,60599,60599,51356,
资本公积(万元),183105,173029,267211,236524,322785,38229,50881,50881,50911,50911,60131,
减:库存股(万元),--,--,--,--,--,--,--,0,--,0,0,
专项储备(万元),--,--,--,--,--,14,86,173,--,--,--,
盈余公积(万元),183191,183191,141003,125580,68812,57338,54836,46645,39931,34945,29326,
一般风险准备(万元),2,--,--,--,--,--,--,0,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,0,--,0,0,
未分配利润(万元),724026,992927,922042,852563,672051,211988,175863,135725,87733,71309,61824,
拟分配现金股利(万元),--,--,--,--,--,--,--,0,--,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,0,--,0,0,
归属于母公司股东权益合计(万元),1420279,1679234,1550315,1434725,1173676,368168,342265,294023,239175,217765,202637,
少数股东权益(万元),86595,89423,85769,65612,81731,65415,88607,77681,63570,55657,56186,
所有者权益(或股东权益)合计(万元),1506875,1768657,1636084,1500337,1255407,433584,430871,371704,302745,273422,258823,
负债和所有者权益(或股东权益)总计(万元),2135192,2288447,2198243,1974614,1669508,783950,670883,575324,445618,402412,370420,		
  
