报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
递延所得税负债(万元),8041,9258,7376,6315,793,236,138,0,--,0,0,
其他非流动负债(万元),--,--,--,26751,12394,4521,3978,848,--,0,0,
非流动负债合计(万元),213577,132757,163628,124819,101204,116949,87316,174948,315900,308520,260120,
负债合计(万元),1182730,841190,807297,674134,606579,598052,472483,466482,606357,593568,467990,
实收资本(或股本)(万元),250862,250862,200299,200299,200299,200299,200299,200299,200299,100149,100149,
资本公积(万元),622875,622893,20983,20983,20983,19933,19933,19933,19933,19933,19881,
减:库存股(万元),--,--,--,--,--,--,--,0,--,0,0,
专项储备(万元),--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),163432,134308,110214,90952,77440,67081,57062,44049,40648,29628,23933,
一般风险准备(万元),--,--,--,--,--,--,--,0,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,0,--,0,0,
未分配利润(万元),757089,659937,573717,471153,393059,331061,303989,172316,63914,200553,145573,
拟分配现金股利(万元),--,--,--,--,--,--,--,0,--,0,0,
外币报表折算差额(万元),--,--,--,877,5390,4793,2932,2052,2158,2387,1914,
归属于母公司股东权益合计(万元),1803362,1640863,879830,784264,697171,623167,584215,438648,326952,352649,291451,
少数股东权益(万元),493,644,432,311,354,--,--,0,--,0,0,
所有者权益(或股东权益)合计(万元),1803855,1641507,880262,784575,697525,623167,584215,438648,326952,352649,291451,
负债和所有者权益(或股东权益)总计(万元),2986585,2482697,1687559,1458708,1304104,1221219,1056697,905130,933309,946217,759441,		
  
